title_f,title_r,sentiment_f_transformers,sentiment_r_transformers,sentiment_f_textblob,sentiment_r_textblob,sentiment_f_natural,sentiment_r_natural,sentiment_f_sentiment,sentiment_r_sentiment,heuristics
Fifty Shades Darker: Dakota Johnson and Jamie Dornan refuse to promote the film?,Fifty Shades Darker: Jamie Dornan responds to 'disgusting' rumours about him and co-star Dakota Johnson,NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
George Clooney’s Friends Want Him To Run For President: He Would Be ‘Amazing’ With Amal As First Lady,George Clooney says he won’t run for president because he wants a ‘nice life’,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,False
‘NASA Confirms’ 15 Days Of Darkness Coming This Month,"Nasa Confirms SixDays of Darkness in December': No, they don't - it's a hoax",NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Kim Kardashian Having Plastic Surgery To Cure Cankles?,Kim Kardashian Not Getting Secret Plastic Surgery To Save Feet From Turning Into A Hammertoe [Debunked],NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,False
Are Selena Gomez And Justin Theroux Dating? New Details About Their Secret Relationship,Selena Gomez And Justin Theroux Are Not ‘Falling For Each Other’ [Debunked],POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,False
Shock reports claim Brad Pitt was cheating with co-star Marion Cotillard behind Ange’s back,Brad Pitt's costar Marion Cotillard shuts down cheating rumors,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
  Selena Gomez   Justin Bieber NOT Reconnecting Reconnecting Despite Reports,Newly Single Selena Gomez and Justin Bieber Reconnect at Church in L.A.,NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Gwen Stefani shuts down rumours she was 'dumped' by Blake Shelton over 'jealousy and drama' with loved-up snap,Gwen Stefani Got Dumped by Blake Shelton Over “Jealousy and Drama”,POSITIVE,NEGATIVE,NEUTRAL,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
"Jamie Foxx Not Renting Out Disneyland For Katie Holmes, Despite Fake News",Jamie Foxx to Rent out Disneyland to Woo Katie Holmes,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Jennifer Aniston and Angelina Jolie secret dinner (In Touch) – Trendy Fame,Angelina Jolie Rejected Jennifer Aniston’s Invite to Have Dinner Together,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Rumor Bust! Katie Holmes Did NOT Breakup with Jamie Foxx for Joshua Jackson,"Katie Holmes and Jamie Foxx, Hollywood's most secret love has ended",POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,False
"Brad Pitt Vowing ‘To Stay Celibate’ Amid Angelina Jolie Divorce Is Not True, Reports ‘Gossip Cop’",Brad Pitt vows to stay celibate for a year after shock Angelina Jolie split,NEGATIVE,NEGATIVE,NEUTRAL,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Gwen Stefani NOT Secretly Adopting Baby Girl  Despite Report,Blake & Gwen Adopting Girl,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Meghan Markle Does Have Secret Maid Of Honor  Claim,Meghan Markle Won't Have a Maid of Honor,POSITIVE,NEGATIVE,NEUTRAL,POSITIVE,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,False
Mariah Carey Vs. Joe Jonas — New Year’s Feud Goes On,"Mariah Carey, Joe Jonas New Year's Eve feud not true",NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,False
Denzel Washington: 'Criminal-In-Chief' Obama 'Tore Heart Out Of America',CNN analyst shares fake news story about Denzel Washington attacking Obama and CNN,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Were drugs to blame for Erin Moran’s death?,"Scott Baio regrets blaming Erin Moran’s death on drugs, alcohol before learning she had cancer",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Mass-Media: Brad Pitt Broke Up with Ella Purnell for Princess of Monaco,Brad Pitt 'slams reports that he has been secretly dating the Princess of Monaco',NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
"Blake Shelton Rumored To Have Dumped Gwen Stefani, According To ‘In Touch Weekly’",Gwen Stefani shuts down rumours she was 'dumped' by Blake Shelton over 'jealousy and drama' with loved-up snap,NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
"Gwen Stefani Got Dumped by Blake Shelton Over ""Jealousy and Drama"" (EXCLUSIVE)",Gwen Stefani shuts down rumours she was 'dumped' by Blake Shelton over 'jealousy and drama' with loved-up snap,NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
The pictures that have fans convinced Katie Holmes is pregnant,Katie Holmes isn't pregnant with Jamie Foxx’s baby and there's no wedding,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Sandra Bullock getting married to boyfriend Bryan Randall,Reason why Sandra Bullock never married longtime partner Bryan Randall prior to his death,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,False
Did Kanye West Make A Diss Track About Donald Trump?,Kanye West denies producing Trump diss track,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,False
Jennifer Aniston is PREGNANT! (According to Kathy Hilton),Don't listen to Kathy Hilton: Jennifer Aniston is NOT with child,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Jennifer Lawrence Is Perfectly Fine with Those Brad Pitt Dating Rumors,Brad Pitt is not dating Jennifer Lawrence despite claims,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Laura Dern & Reese Witherspoon Prove They're as Close as Ever & Not Feuding,Reese Witherspoon and Laura Dern Are Engaged in a Hysterical Instagram Feud: What to Know,POSITIVE,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,False
"Shaquille O’Neal Says: ‘Trump Is Possibly The Best President Of The President Of All Times Ever, He Is Not Afraid To…’",Shaq did not say Trump was 'possibly the best president' ever,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
The secret Donald Trump and Rudy Giuliani know about the Russia probe,Never happened’: Giuliani walks back confusing claim of secret Trump Tower meeting,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,False
Pence: “Michelle Obama Is The Most Vulgar First Lady We’ve Ever Had”,Website makes up story that Mike Pence called Michelle Obama vulgar,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
Pro-Lifers Declare “Ejaculation Is Murder: Every Sperm Cell Is A Life”,"Every Sperm Cell Is A Life' story is fake, if you click through",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Secret Service Agent Says Obama Is Muslim & Gay In New Tell-All Book,Fake news site falsely claims Obama is a gay Muslim,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
Virginia Republican Wants Schools To Check Children's Genitals Before Using Bathroom,Occupy Democrats grossly twists Virginia school bathroom bill,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
"New Star Wars Movie Filming Near Rosenberg, Texas, Large Number of Extras Needed – WBN 12 News",Fake news: Next Star Wars movie seeking alien extras near Houston,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
"South African firm ordered to lay off 3,389 white employees","No, South African officials didn't order a firm to lay off white workers",NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,True
BREAKING: Nancy Pelosi Was Just Taken From Her Office In Handcuffs,"Websites spread fake news that Nancy Pelosi was ‘arrested' over ‘coup attempt’
",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
New Regulation Requires 75 MPH Governor On All Motorcycles,Will the federal government require devices to slow down motorcycles?,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
"Kasich: “If A Woman Is Not Intelligent Enough To Keep Her Legs Closed, How Can We Entrust The Abortion Decision To Her?”",Fake news story falsely quotes Kasich saying some women not smart enough to decide on abortion,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Obama’s Tax- Skipping – Audit Shows Millions In Offshore Accounts,Fake theory that Barack Obama hid millions of taxpayer dollars offshore started on parody site,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
Texas law enforcement officer fatally shot upon arriving for work by 3 Muslim refugee. Do you support to deport them?,Fake news headline blames Texas deputy’s real death on fictitious Muslim refugees,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
United Airlines Flight Attendant Slaps Crying Baby During Flight,Fake news story says United flight attendant slapped baby during flight from Chicago,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Trump on Revamping the Military: We’re Bringing Back the Draft,"Internet story claiming Trump wants to renew military draft is still old, still fake",NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Donald Trump to issue an executive order to ban Facebook across US,Fake news story about Trump banning Facebook by executive order is an April Fool’s Day prank,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: Hillary Clinton Has Third Heart Attack-Docs Says She ‘Won’t Survive’,"Hillary Clinton not dead from heart attack, as fake news site claims",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,POSITIVE,NEUTRAL,NEUTRAL,True
"BREAKING: Barron Trump Rushed To The Hospital, Hospital Releases Statement On His Condition",It's fake news that Barron Trump was hospitalized for pneumonia,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
 Friendly Fire … Charlottesville Car attacker is antiTrump Antifa supporter,"Charlottesville hit-and-run driver was anti-fascist activist, Internet post claims",NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
BOMBSHELL: Internet Sleuths Just Found the SMOKING GUN on Dems Planning Violence in Charlottesville,Blog posts wrongly say there's proof Democrats hired actors to play white nationalists,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
WHITE SUPREMACIST WHO KILLED PROTESTER IS A DEMOCRAT AND VISITED OBAMA IN OVAL OFFICE (Updated 16.08.2017) – Newsfeed – Hasslefree allsorts,Story that Obama supporter was behind wheel of car in Charlottesville is fake news,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: Barcelona Terrorist Has A Cousin In The US Named Barack,"Barcelona terrorist related to Barack Obama, fake news site falsely says",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: Rosa Parks’ Daughter Praises Trump’s Response to Charlottesville – forfreedomworld,Fake news: Rosa Parks had no daughter who could praise Trump’s comments,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: President Trump Pardons Kim Davis,It's fake news that Donald Trump pardoned Kentucky clerk Kim Davis,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: Federal Judge Grants Permission To Subpoena Trump,"No, judge didn't grant subpoena of President Donald Trump",NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,True
Miss Universe Guayana 2016 arrestada con 2kilos en London Airport😱,Headline about Miss Universe Guyana and cocaine bust is recycled fake news,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: Roy Moore’s Accuser Arrested And Charged With Falsification,"Fake news: No, a Roy Moore accuser was not arrested for lying",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,True
"BREAKING: Trump fires Deputy Attorney General Rod Rosenstein, raising questions over Mueller’s fate","No, Trump hasn't fired Deputy Attorney General Rod Rosenstein",NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,True
If You Are Using This Toothpaste… Throw It Away Immediately Nov 28,Story falsely suggests a Colgate toothpaste banned by FDA,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
UPDATE: Van Full Of Illegals Caught Voting At Multiple Alabama Polling Locations,"No, undocumented immigrants were not caught voting in Alabama Senate election",NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,True
LAW PASSED: All Child Support in the United States Will End by Beginning of 2018,"No, Trump and Congress didn't pass bill ending child support",POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
"BOOM: Roy Moore Takes The Military Vote, Pulls Ahead By 5K Votes","No, Roy Moore didn't win Alabama race with military ballots",POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: Sasha Obama Just Crashed Her Expensive New Car Into A Lake,Fake news: Sasha Obama crashed Bugatti into a lake,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Julia Roberts Claims ‘Michelle Obama Isn’t Fit to Clean Melania’s Toilet’,Julia Roberts did not say Michelle Obama 'not fit to clean Melania's toilet',NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Donald Trump signs a visa-free travel policy for Ghana,Fake news dangles visa-free travel for Ghana/Malawi,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
GOP Official Who Says America Needs ?Another 9/11? Shares _______________ With Trump,Fake news alert: Texas congressman from Pecos wishes for another 9/11 to show up judges,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: Trump Caught INVESTING in Dakota Pipeline Before Signing It,"Trump 'caught investing' in Dakota Access Pipeline before approving it, website says",NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,False
BREAKING: Hilary Clinton Filed For Divorce In New York Courts!,Internet resurrects false claim that Bill and Hillary Clinton are divorcing,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
John Hagee Calls For “Prosecuting Women Who Say God’s Name During Intercourse”,Mega pastor John Hagee wants to jail women who use God’s name during sex? That’s fake news,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
Starbucks Just Placed Trump’s Photo on Floor so Every Customer have to Step On It….,Fake brews! Starbucks didn’t put photos of Trump on store floors,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
ELECTORAL COLLEGE ELECTOR COMMITS SUICIDE TO AVOID VOTING FOR DONALD TRUMP,Fake news: Michigan GOP elector didn't choose suicide over voting for Trump,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
"Bill Murray Had This to Say About Rochester, New Hampshire Residents – News Daily 12","No, a celebrity's car didn't break down in your hometown",POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: Meryl Streep Just Got Fired From A Major Project For Lying About Trump -,"No, Meryl Streep's anti-Trump award speech didn't cost her a 'Happy Days' job",NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Paul Ryan: “Donald Trump Plans To Resign From Office Within The Next 30 Days”,Story about Ryan announcing Trump’s resignation comes from infamous fake news writer,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: The Democrat James Comey Has Been Having An Affair With Was JUST REVEALED! (DETAILS),It's fake news that James Comey and Debbie Wasserman Schultz are an item,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
White House Chef Quits Because Trump Has Only Eaten Fast Food For 6 Months,White House chef’s faux resignation is on the fake news menu,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Malia Obama Fired From Cushy Internship At Spanish Embassy,"No, Malia Obama wasn't fired by the Spanish Embassy for smoking marijuana",NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,True
Kim Jong Un Dead: North Koreans Calling Trump An Assassin,It's fake news that an American killed North Korea's leader Kim Jong Un,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
BUSTED: Russian Mansions Obama Seized Were Meant To Be Illegal Gifts To Sasha And Malia,It's fake news that Obama seized Russian mansions as gifts for Sasha and Malia,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died",Fake tweet said Obama hoped McCain would die from brain tumor,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Rubio: “Rape Victims Should Be In Custody If There Is Suspicion That They’re Planning Abortion”,Blogs fabricate Marco Rubio quote about putting rape victims in jail for considering abortion,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
"Scott Baio, Beloved Face Of Conservatism, Dies In Small Plane Crash On His Way To Visit Trump",Actor Scott Baio healthy and alive after fake news report of his death,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Trump Removing Marines From the Navy,Story that Donald Trump will split Marines from Navy is unfounded,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False
"Nancy Pelosi Suffers Breakdown, Taken From Capitol Hill On A Stretcher",Fake news that Pelosi had a breakdown credited to a familiar troll,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
"Liberal Women Hate Me Because Of My “Striking Beauty And Intellect”, Says Kellyanne Conway","Kellyanne Conway did not say liberal women hate her for being intelligent, attractive",NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Barrels removed from Clinton property contain parts from 3 missing women.,Saga of bodies found in barrels on Clinton property is fake news,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: Leaked Picture Of Obama Being Dragged Before A Judge In Handcuffs For Wiretapping Trump,Image of Obama in handcuffs for wiretapping Trump is fake photo,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: FBI Issues Warrant For Obama’s Arrest After Confirming Illegal Trump Tower Wiretap,It's a trap! Story that FBI issued warrant for Obama in Trump wiretapping case is fake,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Snoop Dogg Arrested For Conspiracy After Talking About His ‘Murder Trump’ Video,Snoop Dogg wasn’t arrested over comments about shooting Donald Trump in music video,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Lindsey Graham Threatens To Convert To Democrat If Republicans Don’t Dump Trump – True Trumpers,Persistent post incorrectly says Lindsey Graham to become Democrat over Trump,NEGATIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
Malia Obama Arrested With A Gang Of Thugs In Chicago,"This time fake news says Malia Obama arrested for drugs, dog fighting in Chicago",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: Clinton Foundation Cargo Ship Raided At Port Of Baltimore Reveals Sick Secret,"Fake news: Clinton Foundation has no ships, didn’t smuggle refugees",NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,True
BREAKING: Fox Star Tucker Carlson In Critical Condition After Head On Collision Driving Home,Liberal troll behind Tucker Carlson death hoax being spread online,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
Breaking News: FBI Uncovers Evidence That 62 Million Trump Voters are All Russian Agents,Fake story about Trump voters being Russian agents started on white supremacist website,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
112-Year-Old Voters in North Carolina?,"No, thousands of dead people are not registered to vote in North Carolina",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,True
JEFFERSON DAVIS STATUE TO BE REPLACED WITH OBAMA LIKENESS,"Obama statue replacing Jefferson Davis in New Orleans, fake news website says",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
DONALD TRUMP PRAISES COLONEL SANDERS FOR HIS SERVICE IN THE CIVIL WAR Manny Schewitz O 2 Days Ago Off the Wire Speaking to Our Intern Dave Robicheaux Who Is Paid in Facebook Likes Trump Insisted Col H,Trump calling KFC’s Col. Sanders a Civil War hero was a parody site’s story,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,NEUTRAL,False
WORSE THAN HITLER! Trey Gowdy’s Son Found In A Dumpster In DC! Murders Are Being Questioned!,Fake news posts wrongly say U.S. Rep. Trey Gowdy’s son found dead in a dumpster,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Morgan Freeman: ‘Jailing Hillary’ Best Way To ‘Restore Public Faith In Govt’,Fake news: Morgan Freeman did not say he wanted Hillary Clinton imprisoned,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
UPDATE: Malia Obama Among 10 Arrested In Racist Antifa Attack,"Bloggers invent (another) nonsensical claim about Malia Obama, Antifa-linked arrest",NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,False
UPDATE: Second Roy Moore Accuser Works For Michelle Obama Right NOW -,Story tying Roy Moore accuser to Obamas is fake,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,NEUTRAL,NEUTRAL,True
"DONALD TRAIN NEWS: BREAKING: Rosa Parks’ Granddaughter SLAMS Racist Democrats, Endorses Trump","No, Rosa Parks' granddaughter didn't praise Trump",NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
BREAKING: 2 Million Rounds Of Ammo That ‘Went Missing’ Under Obama Turns Up In Enemy Hands,Fake news: 2 million rounds of U.S. ammo turns up in Afghanistan,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
"Melania Trump: ‘If ISIS Lay A Finger On Barron, I’ll Scratch Obama’s Eyes Out’",No proof that Melania Trump said if ISIS harms her son she will scratch out Obama's eyes,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,NEUTRAL,POSITIVE,NEUTRAL,NEUTRAL,True
"Singer Tina Turner: “This Thanksgiving Is The First Time in 8 Years That I am Thankful For Our President, God Bless Him And His Supporters.” Do You Support To Tina ? – American President Donald J. Tru",No evidence that Tina Turner is thankful for Donald Trump,POSITIVE,NEGATIVE,NEUTRAL,NEGATIVE,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian,Fake news: girls in Saudi Arabia will be beheaded for dancing with boys,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,POSITIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
The Kardashians donate whopping sum to Las Vegas mass shooting victims,It's fake news that Kardashians donate $1 million to Las Vegas shooting victims,POSITIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
San Juan City Council Votes Unanimously To Impeach Trump-Hating Mayor,Fake blog posts say San Juan city council impeaches Mayor Carmen Yulin Cruz,NEGATIVE,NEGATIVE,POSITIVE,NEUTRAL,NEGATIVE,NEGATIVE,NEUTRAL,NEUTRAL,True
